Employee_ID,First_Name,Last_Name,Age,Gender,Department,Job_Level,Years_Experience,Annual_Salary,Monthly_Bonus,Satisfaction_Score,Performance_Rating,Projects_Completed,Overtime_Hours,Sick_Days_Taken,Remote_Work_Pct,Education_Level,City,Engagement_Index,Attrition_Risk
1107,Eve,Davis,49.0,Female,Support,Mid,0.1,59125.91,786.07,4.19,B,7,7.7,13.0,25,PhD,San Francisco,90.33,0.2888
1108,Olivia,Williams,50.0,Female,Legal,Mid,7.0,80630.0,688.96,2.74,A,9,6.9,17.0,0,Bachelors,Miami,77.3,0.1813
1109,Ned,Taylor,36.0,Male,Legal,Junior,0.8,85777.37,752.44,7.47,B,9,7.8,7.0,50,Bachelors,Chicago,69.44,0.26
1110,Charlie,Miller,30.0,Male,Legal,Mid,7.5,50116.22,557.19,9.53,C,8,4.4,16.0,25,Masters,San Francisco,92.33,0.2413
1111,Alice,Moore,39.0,Male,Support,Manager,18.2,65731.52,1365.17,6.95,B,11,4.3,19.0,25,Bachelors,Denver,53.4,0.2783
1112,Eve,Taylor,28.0,Male,Marketing,Junior,24.4,96208.62,1629.98,6.89,D,12,2.6,0.0,75,Masters,Austin,93.59,0.1026
1113,Ned,Garcia,21.0,Non-Binary,Sales,Mid,1.9,31883.16,246.95,1.06,C,11,14.8,13.0,25,PhD,Boston,70.47,0.3493
1114,Grace,Anderson,56.0,Male,Sales,Manager,11.6,44490.57,1297.7,5.61,C,8,14.9,13.0,100,PhD,,69.05,0.3692
1115,Ivy,Smith,20.0,Male,Marketing,Mid,3.1,68119.04,1696.85,8.35,B,10,0.0,12.0,75,Bachelors,Miami,83.64,0.327
1116,Olivia,Thomas,23.0,Female,Legal,Mid,16.2,79780.95,3211.55,6.89,A,10,16.4,10.0,25,PhD,Portland,72.0,0.2473
1117,Olivia,Miller,55.0,Female,Engineering,Senior,10.8,42132.09,924.87,3.05,C,8,10.2,19.0,50,High School,Austin,51.28,0.7051
1118,Jack,Taylor,44.0,Male,Marketing,Mid,0.5,,565.69,8.64,C,10,4.7,5.0,75,Bachelors,Chicago,72.49,0.2341
1119,Mona,Thomas,22.0,Female,Operations,Junior,3.7,97382.91,1459.28,9.68,C,11,2.0,0.0,0,Bachelors,Atlanta,56.98,0.085
1120,Sam,Miller,28.0,Female,Operations,Junior,2.9,73510.33,574.71,3.51,B,4,2.7,16.0,0,Bachelors,Austin,49.84,0.2672
1121,Grace,Taylor,,Male,Finance,Senior,10.8,92659.96,1763.04,2.86,C,5,9.4,13.0,25,PhD,Chicago,70.63,0.5702
1122,Quinn,Moore,42.0,Male,Marketing,Manager,3.7,58973.49,745.97,,C,8,0.8,4.0,100,PhD,New York,49.27,0.6402
1123,Tina,Anderson,31.0,Female,HR,Junior,8.1,54181.83,426.28,1.57,C,14,4.8,6.0,100,High School,,96.16,0.1609
1124,Diana,Smith,29.0,Female,Support,Junior,6.5,90675.22,882.31,8.86,C,6,1.3,,100,Bachelors,Chicago,65.39,0.133
1125,Eve,Rodriguez,53.0,Female,Support,Mid,26.0,80123.84,669.63,9.36,D,10,2.4,14.0,0,Bachelors,Atlanta,64.93,0.4419
1126,Grace,Garcia,62.0,Male,Operations,Lead,19.4,45916.89,621.63,6.7,C,5,0.0,9.0,25,Bachelors,Boston,84.81,0.1394
1127,Mona,Moore,29.0,Male,Operations,Mid,3.9,54381.5,104.5,7.88,A,8,17.4,5.0,0,Bachelors,Austin,82.01,0.1726
1128,Olivia,Anderson,49.0,Female,Operations,Manager,9.0,106420.79,1676.07,7.02,C,5,,0.0,25,Bachelors,Chicago,88.56,0.0962
1129,Kate,Johnson,41.0,Male,Engineering,Junior,12.4,51659.79,1667.98,4.4,C,4,,13.0,0,Bachelors,Miami,94.89,0.3648
1130,Diana,Jones,,Male,HR,Manager,16.0,92555.23,1147.49,6.69,A,7,4.1,14.0,50,Bachelors,Portland,78.68,0.297
1131,Mona,Thomas,21.0,Female,Legal,Senior,0.5,61479.89,1219.57,8.53,B,9,8.8,9.0,75,Bachelors,Austin,32.2,0.2405
1132,Grace,Wilson,49.0,Male,Legal,Senior,2.5,71930.13,362.44,8.29,C,4,3.6,9.0,75,Bachelors,Seattle,60.12,0.2963
1133,Sam,Brown,21.0,Female,Marketing,Mid,2.7,78481.04,,1.73,C,10,20.8,14.0,0,Bachelors,Seattle,41.39,0.4307
1134,Bob,Miller,51.0,Female,Engineering,Lead,4.0,25778.41,952.54,5.16,D,4,4.7,2.0,25,Bachelors,Boston,68.34,0.2163
1135,Jack,Davis,61.0,Male,Operations,Junior,1.3,39820.22,734.95,4.58,D,8,4.8,4.0,25,Masters,Portland,95.71,0.6651
1136,Mona,Wilson,35.0,Female,Legal,Junior,4.8,73899.33,936.35,,A,5,12.7,18.0,100,Bachelors,Miami,90.5,0.1942
1137,Frank,Taylor,31.0,Male,HR,Mid,7.6,56065.23,27.26,5.51,C,8,1.5,13.0,100,Bachelors,Seattle,89.19,0.3105
1138,Leo,Moore,20.0,Female,Legal,Lead,4.8,93924.79,1331.38,4.15,C,5,2.3,14.0,0,Bachelors,,76.35,0.1222
1139,Leo,Wilson,27.0,Male,Support,Lead,7.7,36665.34,357.62,7.36,B,7,5.5,18.0,25,Masters,Denver,67.57,0.2532
1140,Tina,Smith,32.0,Male,HR,Mid,0.5,84435.61,290.04,5.26,B,13,0.8,18.0,50,Bachelors,San Francisco,59.13,0.2276
1141,Kate,Jones,34.0,Female,Engineering,Senior,14.6,41723.13,2564.1,3.31,B,4,8.3,15.0,75,Bachelors,Boston,70.92,0.19
1142,Grace,Moore,63.0,Female,Legal,Junior,19.6,64253.69,2157.44,9.01,B,6,4.5,18.0,25,Masters,New York,76.86,0.452
1143,Alice,Williams,27.0,Female,Operations,Lead,6.7,48583.69,101.97,2.02,,5,7.0,3.0,100,Masters,Atlanta,46.94,0.1733
1144,Alice,Smith,29.0,Male,Engineering,Lead,14.9,113853.46,440.84,1.16,A,10,23.2,17.0,0,Bachelors,New York,49.6,0.5634
1145,Tina,Anderson,24.0,Male,Support,Senior,1.0,42531.17,627.08,2.3,B,7,18.8,12.0,25,Bachelors,New York,69.43,0.3087
1146,Mona,Williams,38.0,Female,Sales,Mid,11.2,69314.69,1984.77,2.47,B,6,3.0,6.0,25,Bachelors,San Francisco,68.6,0.3108
1147,Ivy,Taylor,57.0,Male,Operations,Director,0.9,34009.6,,5.84,C,8,,15.0,0,High School,Seattle,68.63,0.1643
1148,Charlie,Garcia,30.0,Male,Engineering,Manager,3.7,107190.54,211.86,6.62,B,12,5.0,11.0,50,PhD,San Francisco,84.58,0.2987
1149,Grace,Taylor,62.0,Female,Marketing,Senior,2.7,80828.21,869.74,5.04,A,5,6.2,12.0,75,PhD,Boston,68.52,0.3405
1150,Frank,Miller,39.0,Female,Legal,Mid,6.2,75013.41,629.91,2.84,B,4,1.7,6.0,50,Bachelors,New York,66.18,0.5538
1151,Hank,Davis,39.0,Female,Operations,Senior,2.5,104434.88,647.0,2.19,B,7,1.7,4.0,50,High School,Portland,81.18,0.1161
1152,Ivy,Thomas,40.0,Non-Binary,Finance,Senior,7.1,75243.29,473.63,5.43,B,10,1.2,8.0,100,Bachelors,Miami,92.19,0.2588
1153,Eve,Wilson,37.0,Male,Operations,Mid,3.2,76830.57,633.75,6.09,C,12,12.0,19.0,75,Bachelors,Portland,97.29,0.3349
1154,Alice,Brown,29.0,Female,Sales,Mid,13.8,74897.96,1300.17,3.74,A,7,0.5,19.0,50,Bachelors,Miami,50.66,0.3216
1155,Sam,Williams,53.0,Male,Engineering,Mid,7.0,84399.96,698.56,2.98,A,10,1.4,9.0,25,High School,Boston,96.2,0.5963
1156,Jack,Jones,45.0,Female,Support,Senior,1.7,61166.29,753.49,1.73,B,10,4.9,13.0,25,High School,Atlanta,50.87,0.2535
1157,Leo,Rodriguez,49.0,Female,Finance,Mid,2.9,67285.68,1414.26,1.24,D,6,3.2,0.0,100,PhD,Chicago,80.15,0.1854
1158,Olivia,Thomas,28.0,Non-Binary,Sales,Mid,13.2,89827.36,1099.55,1.95,B,7,0.6,14.0,75,Masters,Denver,74.23,0.1589
1159,Ivy,Garcia,,Female,Marketing,Lead,3.4,78102.2,1423.59,7.68,F,13,1.7,1.0,0,Bachelors,Denver,92.81,0.1906
1160,Tina,Moore,61.0,Non-Binary,Support,Mid,5.4,69486.63,367.0,4.1,D,6,2.6,14.0,25,Masters,Denver,49.12,0.0907
1161,Quinn,Rodriguez,23.0,Female,Support,Junior,7.3,41188.51,819.67,1.25,B,6,15.9,4.0,0,High School,Denver,62.79,0.1611
1162,Quinn,Moore,25.0,Female,Operations,Mid,3.0,104957.11,799.0,5.57,C,10,2.5,8.0,100,Bachelors,Chicago,64.83,0.2796
1163,Tina,Garcia,33.0,Female,Legal,Manager,2.4,57448.01,706.67,5.82,C,4,0.6,8.0,25,Masters,Miami,66.67,0.2856
1164,Leo,Johnson,23.0,Male,Finance,Lead,4.5,93719.22,606.44,4.86,C,10,17.9,17.0,25,Masters,Atlanta,53.05,0.0744
1165,Grace,Thomas,45.0,Male,Legal,Mid,1.7,75866.58,2107.61,2.0,C,10,2.8,3.0,50,Masters,Boston,95.79,0.5982
1166,Bob,Jones,58.0,Male,Support,Manager,2.3,43544.09,,7.79,C,6,0.8,8.0,100,Bachelors,New York,85.44,0.2623
1167,Charlie,Anderson,36.0,Male,Engineering,Junior,0.4,99550.06,1759.47,7.2,,7,4.7,10.0,100,Bachelors,New York,63.31,0.8234
1168,Quinn,Wilson,38.0,Female,Engineering,Director,2.5,77599.89,2807.71,4.55,C,5,8.3,12.0,50,Bachelors,New York,75.03,0.299
1169,Eve,Rodriguez,25.0,Female,Marketing,Junior,2.7,101377.6,298.16,4.43,C,4,6.2,13.0,100,Bachelors,Portland,66.58,0.1828
1170,Quinn,Davis,48.0,Female,Sales,Junior,22.9,67987.01,205.67,2.4,B,5,1.9,14.0,50,High School,Portland,86.3,0.22
1171,Quinn,Miller,30.0,Non-Binary,Finance,Mid,6.2,87489.13,81.19,7.78,F,13,1.4,17.0,50,Bachelors,Miami,65.28,0.2719
1172,Quinn,Smith,35.0,Female,Marketing,Mid,10.8,33224.4,1741.71,6.4,A,10,10.7,8.0,50,High School,Miami,65.02,0.6151
1173,Bob,Brown,49.0,Male,Sales,Mid,0.3,60995.25,1774.14,1.77,D,8,1.1,1.0,75,Bachelors,Seattle,56.27,0.3013
1174,Bob,Anderson,44.0,Male,HR,Lead,0.8,43994.15,315.5,4.4,C,8,7.1,13.0,25,Bachelors,Seattle,76.41,0.1112
1175,Eve,Miller,59.0,Male,HR,Lead,11.8,63754.76,1439.77,9.13,C,7,0.1,10.0,25,Bachelors,Seattle,88.92,0.1532
1176,Alice,Wilson,30.0,Male,Sales,Mid,6.8,,412.07,5.07,D,8,2.7,19.0,25,PhD,Boston,52.16,0.6198
1177,Alice,Miller,26.0,Female,Engineering,Mid,1.5,58699.24,843.51,3.92,D,9,21.0,6.0,75,Masters,Austin,69.97,0.3553
1178,Sam,Moore,45.0,Female,Engineering,Junior,3.6,91004.53,1662.48,6.79,B,9,5.0,13.0,25,Bachelors,Seattle,90.19,0.2827
1179,Bob,Garcia,41.0,Female,HR,Junior,5.4,53154.52,1106.78,2.83,C,7,1.9,7.0,50,Masters,Miami,70.54,0.5773
